# Keyword research — city+service keyword research
# Used for v4 Baldwin Park landing page and service pages

primary_keyword,volume,kd
plumber baldwin park ca,30,1
plumber in baldwin park,10,2
baldwin park plumbing services,10,2
emergency plumber baldwin park,50,3
24 hour plumber baldwin park,20,4
toilet repair,14800,15
blocked drain,9900,18
hot water repair,6600,14
leaking tap repair,3600,10
burst pipe repair,2400,16
